"sF","treid","slice","X","Y","Z"
"V400","s01.asc",6.9,0.0267800000000022,0.17999,6.9383
"V400","s01.asc",6.9,0.352520000000002,0.180260000000001,6.918
"V400","s01.asc",6.9,0.200710000000001,0.00796000000000063,6.8799
"V400","s01.asc",6.9,0.178570000000001,0.31569,6.9316
"V400","s01.asc",7,0.0205700000000029,0.17094,7.0462
"V400","s01.asc",7,0.34601,0.16506,6.9594
"V400","s01.asc",7,0.211310000000001,0.00722000000000023,7.0075
"V400","s01.asc",7,0.20345,0.32202,6.9794
"V400","s02.asc",0.1,0.532250000000001,0.588419999999999,0.0585000000000004
"V400","s02.asc",0.1,0.980020000000003,0.577950000000001,0.0806000000000004
"V400","s02.asc",0.1,0.771750000000001,0.373170000000002,0.0628000000000011
"V400","s02.asc",0.1,0.789540000000002,0.798470000000002,0.0521000000000011
"V400","s02.asc",0.2,0.545160000000003,0.61074,0.159600000000001
"V400","s02.asc",0.2,0.971240000000002,0.554449999999999,0.219900000000001
"V400","s02.asc",0.2,0.764710000000001,0.379860000000001,0.245600000000001
"V400","s02.asc",0.2,0.758700000000001,0.786560000000001,0.159700000000001
"V400","s02.asc",0.3,0.549430000000001,0.591430000000003,0.3154
"V400","s02.asc",0.3,0.967170000000003,0.562060000000002,0.259
"V400","s02.asc",0.3,0.77881,0.37387,0.2628
"V400","s02.asc",0.3,0.716990000000003,0.77338,0.2767
"V400","s02.asc",0.4,0.552520000000001,0.58473,0.382400000000001
"V400","s02.asc",0.4,0.961720000000003,0.581600000000002,0.392000000000001
"V400","s02.asc",0.4,0.74822,0.367599999999999,0.4123
"V400","s02.asc",0.4,0.725150000000003,0.759309999999999,0.357700000000001
"V400","s02.asc",0.5,0.557640000000003,0.566940000000002,0.470700000000001
"V400","s02.asc",0.5,0.95767,0.554259999999999,0.4711
"V400","s02.asc",0.5,0.737190000000002,0.351510000000001,0.516500000000001
"V400","s02.asc",0.5,0.771180000000001,0.747140000000002,0.486600000000001
"V400","s02.asc",0.6,0.557600000000001,0.550730000000001,0.617600000000001
"V400","s02.asc",0.6,0.957180000000001,0.540469999999999,0.558100000000001
"V400","s02.asc",0.6,0.724400000000003,0.35952,0.639900000000001
"V400","s02.asc",0.6,0.757530000000003,0.737920000000003,0.553100000000001
"V400","s02.asc",0.7,0.559520000000003,0.550910000000002,0.661100000000001
"V400","s02.asc",0.7,0.950490000000002,0.548410000000001,0.663600000000001
"V400","s02.asc",0.7,0.760360000000002,0.35219,0.747
"V400","s02.asc",0.7,0.743970000000001,0.728270000000002,0.652600000000001
"V400","s02.asc",0.8,0.55836,0.524940000000001,0.8001
"V400","s02.asc",0.8,0.94792,0.5244,0.752000000000001
"V400","s02.asc",0.8,0.749080000000003,0.34469,0.8299
"V400","s02.asc",0.8,0.769840000000002,0.71799,0.7501
"V400","s02.asc",0.9,0.557970000000001,0.533060000000003,0.908100000000001
"V400","s02.asc",0.9,0.943470000000001,0.519010000000002,0.8695
"V400","s02.asc",0.9,0.743110000000001,0.337250000000001,0.932400000000001
"V400","s02.asc",0.9,0.738020000000002,0.7074,0.850100000000001
"V400","s02.asc",1,0.554200000000002,0.53444,1.0381
