"sF","treid","slice","X","Y","Z"
"V500","s07.asc",6,NA,NA,NA
"V500","s07.asc",6,NA,NA,NA
"V500","s07.asc",6,NA,NA,NA
"V500","s07.asc",6.5,NA,NA,NA
"V500","s07.asc",6.5,NA,NA,NA
"V500","s07.asc",6.5,NA,NA,NA
"V500","s07.asc",6.5,NA,NA,NA
"V500","s07.asc",7,NA,NA,NA
"V500","s07.asc",7,NA,NA,NA
"V500","s07.asc",7,NA,NA,NA
"V500","s07.asc",7,NA,NA,NA
"V500","s08.asc",0.5,0.0906899999999986,0.44866,0.724349999999999
"V500","s08.asc",0.5,0.607199999999999,0.49381,0.267810000000001
"V500","s08.asc",0.5,0.395189999999999,0.245899999999999,0.364140000000001
"V500","s08.asc",0.5,0.32133,0.706329999999999,0.27572
"V500","s08.asc",1,0.0645799999999994,0.50986,1.19117
"V500","s08.asc",1,0.562860000000001,0.458399999999999,0.75019
"V500","s08.asc",1,0.324280000000002,0.258649999999999,0.793979999999999
"V500","s08.asc",1,0.3414,0.68225,0.80442
"V500","s08.asc",1.5,0.0739200000000011,0.44107,1.74732
"V500","s08.asc",1.5,0.535889999999998,0.466049999999999,1.25963
"V500","s08.asc",1.5,0.289740000000002,0.249699999999999,1.65889
"V500","s08.asc",1.5,0.30312,0.67484,1.26185
"V500","s08.asc",2,0.0594099999999997,0.44219,2.2261
"V500","s08.asc",2,0.51078,0.497109999999999,1.75772
"V500","s08.asc",2,0.253869999999999,0.236330000000001,2.21936
"V500","s08.asc",2,0.303840000000001,0.655809999999999,1.76641
"V500","s08.asc",2.5,0.0414300000000019,0.399799999999999,2.74297
"V500","s08.asc",2.5,0.489550000000001,0.45004,2.26614
"V500","s08.asc",2.5,0.261230000000001,0.21551,2.7165
"V500","s08.asc",2.5,0.292729999999999,0.63706,2.25385
"V500","s08.asc",3,0.022590000000001,0.364850000000001,3.24121
"V500","s08.asc",3,0.467220000000001,0.40657,2.77469
"V500","s08.asc",3,0.23152,0.185879999999999,3.23132
"V500","s08.asc",3,0.251660000000001,0.61232,2.7536
"V500","s08.asc",3.5,0.0201300000000018,0.33601,3.42603
"V500","s08.asc",3.5,0.44745,0.358089999999999,3.27524
"V500","s08.asc",3.5,0.212209999999999,0.142199999999999,3.74794
"V500","s08.asc",3.5,0.266459999999999,0.57544,3.25707
"V500","s08.asc",4,0.0153099999999995,0.294169999999999,3.93395
"V500","s08.asc",4,0.447210000000002,0.331439999999999,4.24374
"V500","s08.asc",4,0.229469999999999,0.10162,4.2392
"V500","s08.asc",4,0.260380000000001,0.531229999999999,3.75195
"V500","s08.asc",4.5,0.0264200000000017,0.26829,4.2931
"V500","s08.asc",4.5,0.444520000000001,0.34083,4.28106
"V500","s08.asc",4.5,0.241679999999999,0.0577799999999993,4.71686
"V500","s08.asc",4.5,0.21095,0.4899,4.27362
"V500","s08.asc",5,0,0.20641,5.12869
"V500","s08.asc",5,0.447389999999999,0.21341,5.2126
"V500","s08.asc",5,0.235019999999999,0.0117700000000003,5.23695
"V500","s08.asc",5,0.247969999999999,0.445069999999999,4.76881
"V500","s08.asc",5.5,0.0187200000000018,0.20073,5.2503
"V500","s08.asc",5.5,0.439620000000001,0.241489999999999,5.47554
"V500","s08.asc",5.5,0.209820000000001,0,5.4759
"V500","s08.asc",5.5,0.23133,0.394130000000001,5.25584
"V500","s08.asc",6,NA,NA,NA
"V500","s08.asc",6,NA,NA,NA
"V500","s08.asc",6,NA,NA,NA
"V500","s08.asc",6,NA,NA,NA
"V500","s08.asc",6.5,NA,NA,NA
"V500","s08.asc",6.5,NA,NA,NA
"V500","s08.asc",6.5,NA,NA,NA
"V500","s08.asc",6.5,NA,NA,NA
"V500","s08.asc",7,NA,NA,NA
"V500","s08.asc",7,NA,NA,NA
"V500","s08.asc",7,NA,NA,NA
"V500","s08.asc",7,NA,NA,NA
"V500","s09.asc",0.5,0.135360000000002,0.7424,0.721360000000001
"V500","s09.asc",0.5,0.625980000000002,0.77792,0.257680000000001
"V500","s09.asc",0.5,0.37426,0.542670000000001,0.74845
"V500","s09.asc",0.5,0.41197,1.02356,0.254380000000001
"V500","s09.asc",1,0.09666,0.81663,1.16132
"V500","s09.asc",1,0.590430000000001,0.77905,0.75333
"V500","s09.asc",1,0.313030000000001,0.494630000000001,1.24593
"V500","s09.asc",1,0.386089999999999,0.981060000000001,0.752700000000001
